bookTitle,bookId,ISBN,bookAuthor,yearOfPublication,publisher
1984,0,451524934,George Orwell,1990,Signet Book
1st to Die: A Novel,1,446610038,James Patterson,2002,Warner Vision
2nd Chance,2,446612790,James Patterson,2003,Warner Vision
4 Blondes,3,451203895,Candace Bushnell,2002,Signet Book
84 Charing Cross Road,4,140143505,Helene Hanff,1990,Penguin Books
A Bend in the Road,5,446527785,Nicholas Sparks,2001,Warner Books
A Case of Need,6,451183665,Michael Crichton,1994,Signet Book
"A Child Called \It\"": One Child's Courage to Survive""",7,1558743669,Dave Pelzer,1995,Health Communications
A Civil Action,8,679772677,JONATHAN HARR,1996,Vintage
A Cry In The Night,9,671886665,Mary Higgins Clark,1993,Pocket
A Darkness More Than Night,10,446667900,Michael Connelly,2002,Warner Vision
A Day Late and a Dollar Short,11,670896764,Terry McMillan,2001,Viking Books
A Fine Balance,12,140003065X,Rohinton Mistry,2001,Vintage Books USA
A Great Deliverance,13,553278029,Elizabeth George,1989,Bantam Books
A Heartbreaking Work of Staggering Genius,14,375725784,Dave Eggers,2001,Vintage Books USA
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),15,553279912,SUE GRAFTON,1987,Bantam
A Lesson Before Dying (Vintage Contemporaries (Paperback)),16,375702709,Ernest J. Gaines,1997,Vintage Books USA
A Man Named Dave: A Story of Triumph and Forgiveness,17,525945210,David J. Pelzer,1999,Dutton Books
A Man in Full,18,374270325,Tom Wolfe,1998,Farrar Straus &amp; Giroux
A Map of the World,19,385720106,Jane Hamilton,1999,Anchor Books/Doubleday
A Painted House,20,038550120X,JOHN GRISHAM,2001,Doubleday
A Patchwork Planet,21,080411918X,ANNE TYLER,2001,Ballantine Books
A Prayer for Owen Meany,22,345361792,John Irving,1990,Ballantine Books
A Thin Dark Line (Mysteries &amp; Horror),23,553571885,TAMI HOAG,1998,Bantam
A Thousand Acres (Ballantine Reader's Circle),24,449907481,JANE SMILEY,1992,Ballantine Books
A Time to Kill,25,440211727,JOHN GRISHAM,1992,Dell
A Virtuous Woman (Oprah's Book Club (Paperback)),26,375703063,Kaye Gibbons,1997,Vintage Books
A Walk to Remember,27,446608955,Nicholas Sparks,2000,Warner Books
A Widow for One Year,28,345424719,JOHN IRVING,1999,Ballantine Books
A Wrinkle In Time,29,440498058,MADELEINE L'ENGLE,1998,Yearling
A Wrinkle in Time,30,440220394,L'Engle Madelein,1996,Laurel-Leaf Books
A Year in Provence,31,679731148,Peter Mayle,1991,Vintage Books USA
ANGELA'S ASHES,32,684874350,Frank McCourt,1996,Scribner
Abduction,33,042517736X,Robin Cook,2000,Berkley Publishing Group
About a Boy,34,1573227331,Nick Hornby,1999,Riverhead Books
Absolute Power,35,446519960,David Baldacci,1996,Warner Books
Acceptable Risk,36,425151867,Robin Cook,1996,Berkley Publishing Group
Accident,37,385306024,Danielle Steel,1994,Delacorte Press
Airframe,38,679446486,Michael Crichton,1996,Alfred A. Knopf
Alaska,39,449217264,James A. Michener,1994,Fawcett Books
All Around the Town,40,671793489,Mary Higgins Clark,1993,Pocket Star
